STATE,variable,value,,,
New York,asian2016AgingIn,37539,,,
North Carolina,asian2016AgingIn,8844,,,
North Dakota,asian2016AgingIn,0,,,
Ohio,asian2016AgingIn,6223,,,
Oklahoma,asian2016AgingIn,1902,,,
Oregon,asian2016AgingIn,7273,,,
Pennsylvania,asian2016AgingIn,14884,,,
Rhode Island,asian2016AgingIn,802,,,
South Carolina,asian2016AgingIn,1548,,,
South Dakota,asian2016AgingIn,82,,,
Tennessee,asian2016AgingIn,2569,,,
Texas,asian2016AgingIn,32709,,,
Utah,asian2016AgingIn,3623,,,
Vermont,asian2016AgingIn,662,,,
Virginia,asian2016AgingIn,14607,,,
Washington,asian2016AgingIn,18951,,,
West Virginia,asian2016AgingIn,522,,,
Wisconsin,asian2016AgingIn,5605,,,
Wyoming,asian2016AgingIn,495,,,
Alabama,hisp2020Naturalizing,803,,,
Alaska,hisp2020Naturalizing,339,,,
Arizona,hisp2020Naturalizing,14209,,,
Arkansas,hisp2020Naturalizing,1486,,,
California,hisp2020Naturalizing,145867,,,
Colorado,hisp2020Naturalizing,5514,,,
Connecticut,hisp2020Naturalizing,3764,,,
Delaware,hisp2020Naturalizing,458,,,
Florida,hisp2020Naturalizing,99950,,,
Georgia,hisp2020Naturalizing,7753,,,
Hawaii,hisp2020Naturalizing,617,,,
Idaho,hisp2020Naturalizing,1368,,,
Illinois,hisp2020Naturalizing,19014,,,
Indiana,hisp2020Naturalizing,2298,,,
Iowa,hisp2020Naturalizing,1200,,,
Kansas,hisp2020Naturalizing,2150,,,
Kentucky,hisp2020Naturalizing,1098,,,
Louisiana,hisp2020Naturalizing,1581,,,
Maine,hisp2020Naturalizing,124,,,
Maryland,hisp2020Naturalizing,6404,,,
Massachusetts,hisp2020Naturalizing,11913,,,
Michigan,hisp2020Naturalizing,2080,,,
Minnesota,hisp2020Naturalizing,1989,,,
Mississippi,hisp2020Naturalizing,411,,,
Missouri,hisp2020Naturalizing,1407,,,
Montana,hisp2020Naturalizing,93,,,
Nebraska,hisp2020Naturalizing,1555,,,
Nevada,hisp2020Naturalizing,7617,,,
New Hampshire,hisp2020Naturalizing,649,,,
New Jersey,hisp2020Naturalizing,25575,,,
New Mexico,hisp2020Naturalizing,3019,,,
New York,hisp2020Naturalizing,53255,,,
North Carolina,hisp2020Naturalizing,6131,,,
North Dakota,hisp2020Naturalizing,30,,,
Ohio,hisp2020Naturalizing,1874,,,
Oklahoma,hisp2020Naturalizing,1855,,,
Oregon,hisp2020Naturalizing,3178,,,
Pennsylvania,hisp2020Naturalizing,5038,,,
Rhode Island,hisp2020Naturalizing,2223,,,
South Carolina,hisp2020Naturalizing,1596,,,
South Dakota,hisp2020Naturalizing,108,,,
Tennessee,hisp2020Naturalizing,1721,,,
Texas,hisp2020Naturalizing,54452,,,
Utah,hisp2020Naturalizing,3188,,,
Vermont,hisp2020Naturalizing,58,,,
Virginia,hisp2020Naturalizing,9374,,,
Washington,hisp2020Naturalizing,5467,,,
West Virginia,hisp2020Naturalizing,122,,,
Wisconsin,hisp2020Naturalizing,2085,,,
Wyoming,hisp2020Naturalizing,168,,,
Alabama,hisp2020AgingIn,8453,,,
Alaska,hisp2020AgingIn,2135,,,
Arizona,hisp2020AgingIn,82382,,,
Arkansas,hisp2020AgingIn,8941,,,
California,hisp2020AgingIn,514618,,,
Colorado,hisp2020AgingIn,43643,,,
Connecticut,hisp2020AgingIn,17951,,,
Delaware,hisp2020AgingIn,2923,,,
Florida,hisp2020AgingIn,126896,,,
Georgia,hisp2020AgingIn,35624,,,
Hawaii,hisp2020AgingIn,5463,,,
Idaho,hisp2020AgingIn,8329,,,
Illinois,hisp2020AgingIn,79442,,,
Indiana,hisp2020AgingIn,17373,,,
Iowa,hisp2020AgingIn,7944,,,
Kansas,hisp2020AgingIn,14001,,,
Kentucky,hisp2020AgingIn,5901,,,
Louisiana,hisp2020AgingIn,6631,,,
Maine,hisp2020AgingIn,573,,,
Maryland,hisp2020AgingIn,14935,,,
Massachusetts,hisp2020AgingIn,23389,,,
Michigan,hisp2020AgingIn,17152,,,
Minnesota,hisp2020AgingIn,9202,,,
Mississippi,hisp2020AgingIn,2007,,,
Missouri,hisp2020AgingIn,8382,,,
Montana,hisp2020AgingIn,989,,,
Nebraska,hisp2020AgingIn,5909,,,
Nevada,hisp2020AgingIn,30606,,,
New Hampshire,hisp2020AgingIn,2444,,,
New Jersey,hisp2020AgingIn,49308,,,
New Mexico,hisp2020AgingIn,33890,,,
New York,hisp2020AgingIn,104149,,,
North Carolina,hisp2020AgingIn,37511,,,
North Dakota,hisp2020AgingIn,149,,,
Ohio,hisp2020AgingIn,14980,,,
Oklahoma,hisp2020AgingIn,14748,,,
Oregon,hisp2020AgingIn,21047,,,
Pennsylvania,hisp2020AgingIn,31297,,,
Rhode Island,hisp2020AgingIn,4787,,,
South Carolina,hisp2020AgingIn,8848,,,
South Dakota,hisp2020AgingIn,503,,,
Tennessee,hisp2020AgingIn,11727,,,
Texas,hisp2020AgingIn,387681,,,
Utah,hisp2020AgingIn,15716,,,
Vermont,hisp2020AgingIn,667,,,
Virginia,hisp2020AgingIn,21450,,,
Washington,hisp2020AgingIn,34370,,,
West Virginia,hisp2020AgingIn,974,,,
Wisconsin,hisp2020AgingIn,17086,,,
Wyoming,hisp2020AgingIn,1743,,,
Alabama,asian2020Naturalizing,1766,,,
Alaska,asian2020Naturalizing,1021,,,
Arizona,asian2020Naturalizing,6283,,,
Arkansas,asian2020Naturalizing,1054,,,
California,asian2020Naturalizing,169483,,,
Colorado,asian2020Naturalizing,4434,,,
Connecticut,asian2020Naturalizing,4664,,,
Delaware,asian2020Naturalizing,1161,,,
Florida,asian2020Naturalizing,18001,,,
Georgia,asian2020Naturalizing,12416,,,
Hawaii,asian2020Naturalizing,6507,,,
Idaho,asian2020Naturalizing,578,,,
Illinois,asian2020Naturalizing,22569,,,
Indiana,asian2020Naturalizing,3153,,,
Iowa,asian2020Naturalizing,1214,,,
Kansas,asian2020Naturalizing,2266,,,
Kentucky,asian2020Naturalizing,1797,,,
Louisiana,asian2020Naturalizing,2296,,,
Maine,asian2020Naturalizing,505,,,
Maryland,asian2020Naturalizing,11988,,,
Massachusetts,asian2020Naturalizing,14302,,,
Michigan,asian2020Naturalizing,12745,,,
Minnesota,asian2020Naturalizing,6469,,,
Mississippi,asian2020Naturalizing,882,,,
Missouri,asian2020Naturalizing,3542,,,
Montana,asian2020Naturalizing,142,,,
Nebraska,asian2020Naturalizing,1159,,,
Nevada,asian2020Naturalizing,6346,,,
New Hampshire,asian2020Naturalizing,1205,,,
New Jersey,asian2020Naturalizing,29763,,,
New Mexico,asian2020Naturalizing,890,,,
New York,asian2020Naturalizing,52028,,,
North Carolina,asian2020Naturalizing,7851,,,
North Dakota,asian2020Naturalizing,172,,,
Ohio,asian2020Naturalizing,7516,,,
Oklahoma,asian2020Naturalizing,2054,,,
Oregon,asian2020Naturalizing,4421,,,
Pennsylvania,asian2020Naturalizing,13838,,,
Rhode Island,asian2020Naturalizing,899,,,
South Carolina,asian2020Naturalizing,2259,,,
South Dakota,asian2020Naturalizing,208,,,
Tennessee,asian2020Naturalizing,3716,,,
Texas,asian2020Naturalizing,35564,,,
Utah,asian2020Naturalizing,1604,,,
Vermont,asian2020Naturalizing,270,,,
Virginia,asian2020Naturalizing,18861,,,
Washington,asian2020Naturalizing,14777,,,
West Virginia,asian2020Naturalizing,396,,,
Wisconsin,asian2020Naturalizing,3636,,,
Wyoming,asian2020Naturalizing,70,,,
Alabama,asian2020AgingIn,1392,,,
Alaska,asian2020AgingIn,1830,,,
Arizona,asian2020AgingIn,9194,,,
Arkansas,asian2020AgingIn,1656,,,
California,asian2020AgingIn,149043,,,
Colorado,asian2020AgingIn,6791,,,
Connecticut,asian2020AgingIn,5942,,,
Delaware,asian2020AgingIn,1440,,,
Florida,asian2020AgingIn,16369,,,
Georgia,asian2020AgingIn,10985,,,
Hawaii,asian2020AgingIn,18093,,,
Idaho,asian2020AgingIn,1072,,,
Illinois,asian2020AgingIn,16401,,,
Indiana,asian2020AgingIn,3732,,,
Iowa,asian2020AgingIn,2960,,,
Kansas,asian2020AgingIn,3392,,,
Kentucky,asian2020AgingIn,3122,,,
Louisiana,asian2020AgingIn,3078,,,
Maine,asian2020AgingIn,392,,,
Maryland,asian2020AgingIn,11864,,,
Massachusetts,asian2020AgingIn,11794,,,
Michigan,asian2020AgingIn,10684,,,
Minnesota,asian2020AgingIn,9061,,,
Mississippi,asian2020AgingIn,974,,,
Missouri,asian2020AgingIn,4393,,,
Montana,asian2020AgingIn,422,,,
Nebraska,asian2020AgingIn,1460,,,
Nevada,asian2020AgingIn,8949,,,
New Hampshire,asian2020AgingIn,1082,,,
New Jersey,asian2020AgingIn,23217,,,
New Mexico,asian2020AgingIn,960,,,
New York,asian2020AgingIn,41567,,,
North Carolina,asian2020AgingIn,9629,,,
North Dakota,asian2020AgingIn,83,,,
Ohio,asian2020AgingIn,9846,,,
Oklahoma,asian2020AgingIn,2778,,,
Oregon,asian2020AgingIn,7628,,,
Pennsylvania,asian2020AgingIn,11604,,,
Rhode Island,asian2020AgingIn,1337,,,
South Carolina,asian2020AgingIn,1952,,,
South Dakota,asian2020AgingIn,283,,,
Tennessee,asian2020AgingIn,3327,,,
Texas,asian2020AgingIn,39182,,,
Utah,asian2020AgingIn,2818,,,
Vermont,asian2020AgingIn,303,,,
Virginia,asian2020AgingIn,17051,,,
Washington,asian2020AgingIn,19215,,,
West Virginia,asian2020AgingIn,751,,,
Wisconsin,asian2020AgingIn,6963,,,
Wyoming,asian2020AgingIn,159,,,
Alabama,totalVotes2012,2074338,,,
Alaska,totalVotes2012,300495,,,
Arizona,totalVotes2012,2299254,,,
Arkansas,totalVotes2012,1069468,,,
California,totalVotes2012,13038547,,,
Colorado,totalVotes2012,2569520,,,
Connecticut,totalVotes2012,1558960,,,
Delaware,totalVotes2012,413921,,,
Florida,totalVotes2012,8474179,,,
Georgia,totalVotes2012,3900050,,,
Hawaii,totalVotes2012,434697,,,
Idaho,totalVotes2012,652274,,,
Illinois,totalVotes2012,5242014,,,
Indiana,totalVotes2012,2624534,,,
Iowa,totalVotes2012,1582180,,,
Kansas,totalVotes2012,1159971,,,
Kentucky,totalVotes2012,1797212,,,
Louisiana,totalVotes2012,1994065,,,
Maine,totalVotes2012,713180,,,
Maryland,totalVotes2012,2707327,,,
Massachusetts,totalVotes2012,3167767,,,
Michigan,totalVotes2012,4730961,,,
Minnesota,totalVotes2012,2936561,,,
Mississippi,totalVotes2012,1285584,,,
Missouri,totalVotes2012,2757323,,,
Montana,totalVotes2012,484048,,,
Nebraska,totalVotes2012,794379,,,
Nevada,totalVotes2012,1014918,,,
New Hampshire,totalVotes2012,710972,,,
New Jersey,totalVotes2012,3640292,,,
New Mexico,totalVotes2012,783758,,,
New York,totalVotes2012,7081159,,,
North Carolina,totalVotes2012,4505372,,,
North Dakota,totalVotes2012,322627,,,
Ohio,totalVotes2012,5580840,,,
Oklahoma,totalVotes2012,1334872,,,
Oregon,totalVotes2012,1789270,,,
Pennsylvania,totalVotes2012,5753670,,,
Rhode Island,totalVotes2012,446049,,,
South Carolina,totalVotes2012,1964118,,,
South Dakota,totalVotes2012,363815,,,
Tennessee,totalVotes2012,2458577,,,
Texas,totalVotes2012,7993851,,,
Utah,totalVotes2012,1017440,,,
Vermont,totalVotes2012,299290,,,
Virginia,totalVotes2012,3854489,,,
Washington,totalVotes2012,3125516,,,
West Virginia,totalVotes2012,670438,,,
Wisconsin,totalVotes2012,3068434,,,
Wyoming,totalVotes2012,249061,,,
Alabama,obamaMargin,-460229,,,
Alaska,obamaMargin,-42036,,,
Arizona,obamaMargin,-208422,,,
Arkansas,obamaMargin,-253335,,,
California,obamaMargin,3014327,,,
Colorado,obamaMargin,137859,,,
Connecticut,obamaMargin,270191,,,
Delaware,obamaMargin,77100,,,
Florida,obamaMargin,74309,,,
Georgia,obamaMargin,-304861,,,
Hawaii,obamaMargin,185643,,,
Idaho,obamaMargin,-208124,,,
Illinois,obamaMargin,884296,,,
Indiana,obamaMargin,-267656,,,
Iowa,obamaMargin,91927,,,
Kansas,obamaMargin,-251908,,,
Kentucky,obamaMargin,-407820,,,
Louisiana,obamaMargin,-343121,,,
Maine,obamaMargin,109030,,,
Maryland,obamaMargin,705975,,,
Massachusetts,obamaMargin,732976,,,
Michigan,obamaMargin,449313,,,
Minnesota,obamaMargin,225942,,,
Mississippi,obamaMargin,-147797,,,
Missouri,obamaMargin,-258644,,,
Montana,obamaMargin,-66089,,,
Nebraska,obamaMargin,-172983,,,
Nevada,obamaMargin,67806,,,
New Hampshire,obamaMargin,39643,,,
New Jersey,obamaMargin,647533,,,
New Mexico,obamaMargin,79547,,,
New York,obamaMargin,1995310,,,
North Carolina,obamaMargin,-92004,,,
North Dakota,obamaMargin,-63336,,,
Ohio,obamaMargin,166277,,,
Oklahoma,obamaMargin,-447778,,,
Oregon,obamaMargin,216313,,,
Pennsylvania,obamaMargin,309840,,,
Rhode Island,obamaMargin,122473,,,
South Carolina,obamaMargin,-205704,,,
South Dakota,obamaMargin,-65571,,,
Tennessee,obamaMargin,-501621,,,
Texas,obamaMargin,-1261719,,,
Utah,obamaMargin,-488787,,,
Vermont,obamaMargin,106541,,,
Virginia,obamaMargin,149298,,,
Washington,obamaMargin,464726,,,
West Virginia,obamaMargin,-179386,,,
Wisconsin,obamaMargin,213019,,,
Wyoming,obamaMargin,-101676,,,
Alabama,hispAndAsianMargin2012,7990,,,
Alaska,hispAndAsianMargin2012,7780,,,
Arizona,hispAndAsianMargin2012,216210,,,
Arkansas,hispAndAsianMargin2012,10390,,,
California,hispAndAsianMargin2012,2221050,,,
Colorado,hispAndAsianMargin2012,149250,,,
Connecticut,hispAndAsianMargin2012,71580,,,
Delaware,hispAndAsianMargin2012,8160,,,
Florida,hispAndAsianMargin2012,366640,,,
Georgia,hispAndAsianMargin2012,89170,,,
Hawaii,hispAndAsianMargin2012,105470,,,
Idaho,hispAndAsianMargin2012,12820,,,
Illinois,hispAndAsianMargin2012,278910,,,
Indiana,hispAndAsianMargin2012,28140,,,
Iowa,hispAndAsianMargin2012,21190,,,
Kansas,hispAndAsianMargin2012,17340,,,
Kentucky,hispAndAsianMargin2012,8070,,,
Louisiana,hispAndAsianMargin2012,23940,,,
Maine,hispAndAsianMargin2012,2700,,,
Maryland,hispAndAsianMargin2012,76340,,,
Massachusetts,hispAndAsianMargin2012,134940,,,
Michigan,hispAndAsianMargin2012,103830,,,
Minnesota,hispAndAsianMargin2012,65420,,,
Mississippi,hispAndAsianMargin2012,1820,,,
Missouri,hispAndAsianMargin2012,37120,,,
Montana,hispAndAsianMargin2012,3080,,,
Nebraska,hispAndAsianMargin2012,11590,,,
Nevada,hispAndAsianMargin2012,75800,,,
New Hampshire,hispAndAsianMargin2012,8480,,,
New Jersey,hispAndAsianMargin2012,257930,,,
New Mexico,hispAndAsianMargin2012,108510,,,
New York,hispAndAsianMargin2012,807810,,,
North Carolina,hispAndAsianMargin2012,51130,,,
North Dakota,hispAndAsianMargin2012,2640,,,
Ohio,hispAndAsianMargin2012,28640,,,
Oklahoma,hispAndAsianMargin2012,26180,,,
Oregon,hispAndAsianMargin2012,37210,,,
Pennsylvania,hispAndAsianMargin2012,138990,,,
Rhode Island,hispAndAsianMargin2012,16430,,,
South Carolina,hispAndAsianMargin2012,15030,,,
South Dakota,hispAndAsianMargin2012,1320,,,
Tennessee,hispAndAsianMargin2012,43070,,,
Texas,hispAndAsianMargin2012,932180,,,
Utah,hispAndAsianMargin2012,27200,,,
Vermont,hispAndAsianMargin2012,2730,,,
Virginia,hispAndAsianMargin2012,72050,,,
Washington,hispAndAsianMargin2012,140590,,,
West Virginia,hispAndAsianMargin2012,2230,,,
Wisconsin,hispAndAsianMargin2012,31190,,,
Wyoming,hispAndAsianMargin2012,3520,,,
Alabama,unregistered2012,31000,,,
Alaska,unregistered2012,16000,,,
Arizona,unregistered2012,582000,,,
Arkansas,unregistered2012,69000,,,
California,unregistered2012,4020000,,,
Colorado,unregistered2012,272000,,,
Connecticut,unregistered2012,136000,,,
Delaware,unregistered2012,16000,,,
Florida,unregistered2012,814000,,,
Georgia,unregistered2012,210000,,,
Hawaii,unregistered2012,216000,,,
Idaho,unregistered2012,37000,,,
Illinois,unregistered2012,483000,,,
Indiana,unregistered2012,69000,,,
Iowa,unregistered2012,53000,,,
Kansas,unregistered2012,72000,,,
Kentucky,unregistered2012,33000,,,
Louisiana,unregistered2012,30000,,,
Maine,unregistered2012,8000,,,
Maryland,unregistered2012,114000,,,
Massachusetts,unregistered2012,206000,,,
Michigan,unregistered2012,89000,,,
Minnesota,unregistered2012,57000,,,
Mississippi,unregistered2012,17000,,,
Missouri,unregistered2012,40000,,,
Montana,unregistered2012,5000,,,
Nebraska,unregistered2012,48000,,,
Nevada,unregistered2012,154000,,,
New Hampshire,unregistered2012,12000,,,
New Jersey,unregistered2012,435000,,,
New Mexico,unregistered2012,204000,,,
New York,unregistered2012,1029000,,,
North Carolina,unregistered2012,77000,,,
North Dakota,unregistered2012,7000,,,
Ohio,unregistered2012,76000,,,
Oklahoma,unregistered2012,90000,,,
Oregon,unregistered2012,100000,,,
Pennsylvania,unregistered2012,224000,,,
Rhode Island,unregistered2012,30000,,,
South Carolina,unregistered2012,29000,,,
South Dakota,unregistered2012,7000,,,
Tennessee,unregistered2012,34000,,,
Texas,unregistered2012,2422000,,,
Utah,unregistered2012,107000,,,
Vermont,unregistered2012,2000,,,
Virginia,unregistered2012,127000,,,
Washington,unregistered2012,203000,,,
West Virginia,unregistered2012,7000,,,
Wisconsin,unregistered2012,92000,,,
Wyoming,unregistered2012,17000,,,
Alabama,ageIn2016HispAsianCumulative,10247,,,
Alaska,ageIn2016HispAsianCumulative,4541,,,
Arizona,ageIn2016HispAsianCumulative,143792,,,
Arkansas,ageIn2016HispAsianCumulative,12178,,,
California,ageIn2016HispAsianCumulative,1177707,,,
Colorado,ageIn2016HispAsianCumulative,76067,,,
Connecticut,ageIn2016HispAsianCumulative,40370,,,
Delaware,ageIn2016HispAsianCumulative,5954,,,
Florida,ageIn2016HispAsianCumulative,238049,,,
Georgia,ageIn2016HispAsianCumulative,59704,,,
Hawaii,ageIn2016HispAsianCumulative,43426,,,
Idaho,ageIn2016HispAsianCumulative,16074,,,
Illinois,ageIn2016HispAsianCumulative,161379,,,
Indiana,ageIn2016HispAsianCumulative,30288,,,
Iowa,ageIn2016HispAsianCumulative,12306,,,
Kansas,ageIn2016HispAsianCumulative,21905,,,
Kentucky,ageIn2016HispAsianCumulative,7808,,,
Louisiana,ageIn2016HispAsianCumulative,13598,,,
Maine,ageIn2016HispAsianCumulative,2635,,,
Maryland,ageIn2016HispAsianCumulative,38194,,,
Massachusetts,ageIn2016HispAsianCumulative,57480,,,
Michigan,ageIn2016HispAsianCumulative,44165,,,
Minnesota,ageIn2016HispAsianCumulative,29219,,,
Mississippi,ageIn2016HispAsianCumulative,4527,,,
Missouri,ageIn2016HispAsianCumulative,18047,,,
Montana,ageIn2016HispAsianCumulative,1950,,,
Nebraska,ageIn2016HispAsianCumulative,10474,,,
Nevada,ageIn2016HispAsianCumulative,55722,,,
New Hampshire,ageIn2016HispAsianCumulative,4480,,,
New Jersey,ageIn2016HispAsianCumulative,116511,,,
New Mexico,ageIn2016HispAsianCumulative,61922,,,
New York,ageIn2016HispAsianCumulative,249717,,,
North Carolina,ageIn2016HispAsianCumulative,50629,,,
North Dakota,ageIn2016HispAsianCumulative,472,,,
Ohio,ageIn2016HispAsianCumulative,35308,,,
Oklahoma,ageIn2016HispAsianCumulative,23934,,,
Oregon,ageIn2016HispAsianCumulative,41543,,,
Pennsylvania,ageIn2016HispAsianCumulative,72091,,,
Rhode Island,ageIn2016HispAsianCumulative,10641,,,
South Carolina,ageIn2016HispAsianCumulative,12012,,,
South Dakota,ageIn2016HispAsianCumulative,1233,,,
Tennessee,ageIn2016HispAsianCumulative,19298,,,
Texas,ageIn2016HispAsianCumulative,655641,,,
Utah,ageIn2016HispAsianCumulative,27528,,,
Vermont,ageIn2016HispAsianCumulative,1270,,,
Virginia,ageIn2016HispAsianCumulative,56636,,,
Washington,ageIn2016HispAsianCumulative,79054,,,
West Virginia,ageIn2016HispAsianCumulative,1925,,,
Wisconsin,ageIn2016HispAsianCumulative,31054,,,
Wyoming,ageIn2016HispAsianCumulative,3928,,,
Alabama,naturalize2016HispAsianCumulative,5138,,,
Alaska,naturalize2016HispAsianCumulative,2720,,,
Arizona,naturalize2016HispAsianCumulative,40985,,,
Arkansas,naturalize2016HispAsianCumulative,5081,,,
California,naturalize2016HispAsianCumulative,630699,,,
Colorado,naturalize2016HispAsianCumulative,19896,,,
Connecticut,naturalize2016HispAsianCumulative,16856,,,
Delaware,naturalize2016HispAsianCumulative,3239,,,
Florida,naturalize2016HispAsianCumulative,235901,,,
Georgia,naturalize2016HispAsianCumulative,40339,,,
Hawaii,naturalize2016HispAsianCumulative,14248,,,
Idaho,naturalize2016HispAsianCumulative,3891,,,
Illinois,naturalize2016HispAsianCumulative,83165,,,
Indiana,naturalize2016HispAsianCumulative,10901,,,
Iowa,naturalize2016HispAsianCumulative,4828,,,
Kansas,naturalize2016HispAsianCumulative,8832,,,
Kentucky,naturalize2016HispAsianCumulative,5790,,,
Louisiana,naturalize2016HispAsianCumulative,7753,,,
Maine,naturalize2016HispAsianCumulative,1259,,,
Maryland,naturalize2016HispAsianCumulative,36783,,,
Massachusetts,naturalize2016HispAsianCumulative,52429,,,
Michigan,naturalize2016HispAsianCumulative,29649,,,
Minnesota,naturalize2016HispAsianCumulative,16916,,,
Mississippi,naturalize2016HispAsianCumulative,2586,,,
Missouri,naturalize2016HispAsianCumulative,9898,,,
Montana,naturalize2016HispAsianCumulative,471,,,
Nebraska,naturalize2016HispAsianCumulative,5428,,,
Nevada,naturalize2016HispAsianCumulative,27926,,,
New Hampshire,naturalize2016HispAsianCumulative,3707,,,
New Jersey,naturalize2016HispAsianCumulative,110676,,,
New Mexico,naturalize2016HispAsianCumulative,7817,,,
New York,naturalize2016HispAsianCumulative,210565,,,
North Carolina,naturalize2016HispAsianCumulative,27964,,,
North Dakota,naturalize2016HispAsianCumulative,404,,,
Ohio,naturalize2016HispAsianCumulative,18781,,,
Oklahoma,naturalize2016HispAsianCumulative,7818,,,
Oregon,naturalize2016HispAsianCumulative,15199,,,
Pennsylvania,naturalize2016HispAsianCumulative,37751,,,
Rhode Island,naturalize2016HispAsianCumulative,6243,,,
South Carolina,naturalize2016HispAsianCumulative,7710,,,
South Dakota,naturalize2016HispAsianCumulative,631,,,
Tennessee,naturalize2016HispAsianCumulative,10875,,,
Texas,naturalize2016HispAsianCumulative,180031,,,
Utah,naturalize2016HispAsianCumulative,9584,,,
Vermont,naturalize2016HispAsianCumulative,656,,,
Virginia,naturalize2016HispAsianCumulative,56469,,,
Washington,naturalize2016HispAsianCumulative,40488,,,
West Virginia,naturalize2016HispAsianCumulative,1036,,,
Wisconsin,naturalize2016HispAsianCumulative,11441,,,
Wyoming,naturalize2016HispAsianCumulative,475,,,
Alabama,ageIn2020HispAsianCumulative,24491,,,
Alaska,ageIn2020HispAsianCumulative,11692,,,
Arizona,ageIn2020HispAsianCumulative,304956,,,
Arkansas,ageIn2020HispAsianCumulative,31037,,,
California,ageIn2020HispAsianCumulative,2369012,,,
Colorado,ageIn2020HispAsianCumulative,167287,,,
Connecticut,ageIn2020HispAsianCumulative,85150,,,
Delaware,ageIn2020HispAsianCumulative,14597,,,
Florida,ageIn2020HispAsianCumulative,482069,,,
Georgia,ageIn2020HispAsianCumulative,135288,,,
Hawaii,ageIn2020HispAsianCumulative,85653,,,
Idaho,ageIn2020HispAsianCumulative,34396,,,
Illinois,ageIn2020HispAsianCumulative,337574,,,
Indiana,ageIn2020HispAsianCumulative,67150,,,
Iowa,ageIn2020HispAsianCumulative,28987,,,
Kansas,ageIn2020HispAsianCumulative,53803,,,
Kentucky,ageIn2020HispAsianCumulative,21355,,,
Louisiana,ageIn2020HispAsianCumulative,28557,,,
Maine,ageIn2020HispAsianCumulative,5628,,,
Maryland,ageIn2020HispAsianCumulative,79875,,,
Massachusetts,ageIn2020HispAsianCumulative,121106,,,
Michigan,ageIn2020HispAsianCumulative,97101,,,
Minnesota,ageIn2020HispAsianCumulative,59684,,,
Mississippi,ageIn2020HispAsianCumulative,9744,,,
Missouri,ageIn2020HispAsianCumulative,39647,,,
Montana,ageIn2020HispAsianCumulative,4821,,,
Nebraska,ageIn2020HispAsianCumulative,22899,,,
Nevada,ageIn2020HispAsianCumulative,120750,,,
New Hampshire,ageIn2020HispAsianCumulative,9554,,,
New Jersey,ageIn2020HispAsianCumulative,247082,,,
New Mexico,ageIn2020HispAsianCumulative,125641,,,
New York,ageIn2020HispAsianCumulative,502031,,,
North Carolina,ageIn2020HispAsianCumulative,122424,,,
North Dakota,ageIn2020HispAsianCumulative,1421,,,
Ohio,ageIn2020HispAsianCumulative,77487,,,
Oklahoma,ageIn2020HispAsianCumulative,53691,,,
Oregon,ageIn2020HispAsianCumulative,92836,,,
Pennsylvania,ageIn2020HispAsianCumulative,152735,,,
Rhode Island,ageIn2020HispAsianCumulative,22217,,,
South Carolina,ageIn2020HispAsianCumulative,28628,,,
South Dakota,ageIn2020HispAsianCumulative,3241,,,
Tennessee,ageIn2020HispAsianCumulative,44613,,,
Texas,ageIn2020HispAsianCumulative,1402815,,,
Utah,ageIn2020HispAsianCumulative,62859,,,
Vermont,ageIn2020HispAsianCumulative,2665,,,
Virginia,ageIn2020HispAsianCumulative,124638,,,
Washington,ageIn2020HispAsianCumulative,174468,,,
West Virginia,ageIn2020HispAsianCumulative,3898,,,
Wisconsin,ageIn2020HispAsianCumulative,72939,,,
Wyoming,ageIn2020HispAsianCumulative,8361,,,
Alabama,naturalize2020HispAsianCumulative,10276,,,
Alaska,naturalize2020HispAsianCumulative,5439,,,
Arizona,naturalize2020HispAsianCumulative,81970,,,
Arkansas,naturalize2020HispAsianCumulative,10161,,,
California,naturalize2020HispAsianCumulative,1261398,,,
Colorado,naturalize2020HispAsianCumulative,39791,,,
Connecticut,naturalize2020HispAsianCumulative,33711,,,
Delaware,naturalize2020HispAsianCumulative,6478,,,
Florida,naturalize2020HispAsianCumulative,471803,,,
Georgia,naturalize2020HispAsianCumulative,80677,,,
Hawaii,naturalize2020HispAsianCumulative,28496,,,
Idaho,naturalize2020HispAsianCumulative,7783,,,
Illinois,naturalize2020HispAsianCumulative,166330,,,
Indiana,naturalize2020HispAsianCumulative,21801,,,
Iowa,naturalize2020HispAsianCumulative,9657,,,
Kansas,naturalize2020HispAsianCumulative,17665,,,
Kentucky,naturalize2020HispAsianCumulative,11580,,,
Louisiana,naturalize2020HispAsianCumulative,15506,,,
Maine,naturalize2020HispAsianCumulative,2519,,,
Maryland,naturalize2020HispAsianCumulative,73566,,,
Massachusetts,naturalize2020HispAsianCumulative,104858,,,
Michigan,naturalize2020HispAsianCumulative,59298,,,
Minnesota,naturalize2020HispAsianCumulative,33832,,,
Mississippi,naturalize2020HispAsianCumulative,5172,,,
Missouri,naturalize2020HispAsianCumulative,19796,,,
Montana,naturalize2020HispAsianCumulative,941,,,
Nebraska,naturalize2020HispAsianCumulative,10856,,,
Nevada,naturalize2020HispAsianCumulative,55851,,,
New Hampshire,naturalize2020HispAsianCumulative,7414,,,
New Jersey,naturalize2020HispAsianCumulative,221353,,,
New Mexico,naturalize2020HispAsianCumulative,15634,,,
New York,naturalize2020HispAsianCumulative,421130,,,
North Carolina,naturalize2020HispAsianCumulative,55928,,,
North Dakota,naturalize2020HispAsianCumulative,807,,,
